"ENSEMBL_ID"	"Gene_ID"	"ntRA_01"	"ntRA_02"	"ntRA_03"	"ntRA_04"	"ntRA_05"	"HC_01"	"HC_02"	"HC_03"	"HC_04"	"HC_05"	"HC_06"	"HC_07"	"HC_08"	"HC_09"	"HC_10"	"HC_11"	"HC_12"	"tRA_01"	"tRA_02"	"tRA_03"	"tRA_04"	"tRA_05"	"tRA_06"	"tRA_07"
"ENSG00000000003"	"TSPAN6"	0.717023	0.336776	0	0.377033	0.25596	1.20193	0.205983	0	0.0873567	0.395979	0.498067	0.301757	0.131525	0.0881506	0	0.182596	0	0.15814	0.0842139	0.0852459	0.721246	0.48318	0.748666	0.817378
"ENSG00000000005"	"TNMD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000419"	"DPM1"	11.6445	9.37769	19.1837	13.4666	15.8429	7.43255	10.5777	8.61415	11.6316	5.43005	8.76535	7.07468	14.6721	5.35174	7.0688	11.4729	7.83504	11.2676	8.14582	13.4156	10.3256	15.7127	15.7412	15.25
"ENSG00000000457"	"SCYL3"	4.41004	5.76737	5.82127	4.58626	6.07096	5.47542	3.99409	5.43247	4.48993	5.55815	5.05062	3.44687	6.53255	3.6953	4.10139	4.93752	5.51387	4.7818	7.10728	4.79992	4.80171	5.81213	3.2057	7.02717
"ENSG00000000460"	"C1orf112"	0.603295	1.61807	1.1329	1.8943	1.18162	1.18852	0.672797	0.658538	0.660965	1.287	0.482805	1.03661	0.731722	1.21145	0.287808	1.3393	0.724762	0.438419	0.667489	0.865509	0.606254	1.07553	1.24863	0.706207
"ENSG00000000938"	"FGR"	502.09	312.803	428.812	404.316	389.901	319.103	385.304	399.652	366.371	366.31	357.856	346.13	440.343	377.63	418.98	318.62	433.848	379.788	311.615	495.897	294.145	373.019	397.152	435.776
"ENSG00000000971"	"CFH"	0.316309	0.536322	0.864557	0.421664	0.385445	0.493688	0.867472	0.532425	1.30102	0	0.586749	0.768483	0.472402	0.340625	0.157924	0.555575	0.524545	0.620379	0.919838	0.255988	3.31129	0.383037	0.252898	0.466713
"ENSG00000001036"	"FUCA2"	10.7426	15.6118	15.6595	9.45733	8.59485	13.9799	11.3466	13.0808	13.3381	11.5905	10.5725	11.0193	13.619	11.5902	10.2942	10.2115	10.1319	16.5567	10.0722	17.6951	10.5142	19.576	18.7609	11.3154
"ENSG00000001084"	"GCLC"	1.98988	4.26106	5.53025	2.99273	5.00709	5.85552	5.919	4.18389	4.33114	3.97207	5.22863	2.66876	3.67439	4.48993	4.04055	3.43739	2.45612	4.19987	3.49968	3.43076	8.1338	3.34692	2.0231	3.59044
"ENSG00000001167"	"NFYA"	6.16628	7.53173	10.6094	5.58171	8.54591	7.03065	5.78941	6.76906	5.31365	6.2019	7.45734	5.80618	7.40095	6.3033	5.56947	7.11172	8.549	6.39373	13.3682	9.45895	6.24574	6.96567	5.82276	10.6036
"ENSG00000001460"	"C1orf201"	1.3624	2.00644	1.22123	1.20594	1.37593	1.88994	1.28871	1.44355	1.32075	0.45293	1.01613	1.12135	1.16403	1.31727	3.05462	1.53523	1.36641	1.77171	0.581426	0.483939	1.7069	0.782708	1.58153	0.626253
"ENSG00000001461"	"NIPAL3"	7.16252	9.03732	7.67574	7.12503	7.67032	10.2186	4.22253	5.90894	5.99986	5.17427	6.75143	7.41665	3.87952	7.85183	5.16453	8.57927	4.98106	6.77673	2.89522	4.08794	9.95812	7.64672	5.56137	5.17202
"ENSG00000001497"	"LAS1L"	11.7386	15.2172	7.61287	9.98019	7.27554	16.2926	13.0433	11.3555	15.5251	9.75801	11.107	14.5338	9.29136	17.8237	12.2024	13.5285	9.74446	14.0261	6.08288	9.35764	13.3256	14.4079	10.298	7.32092
"ENSG00000001561"	"ENPP4"	0.454487	1.08778	2.47266	0.634104	1.16941	0.94075	0.553967	0.620505	0.497838	0.54715	0.359111	0.703447	1.02177	0.543716	0.567785	1.30168	0.564764	0.598413	0.754005	1.23361	1.34546	0.824488	0.266603	2.04089
"ENSG00000001617"	"SEMA3F"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0406327
"ENSG00000001626"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0210811
"ENSG00000001629"	"ANKIB1"	1.29169	3.08844	4.42344	2.28781	2.98753	3.54131	1.74346	1.56483	1.60075	1.85139	2.23333	1.58623	1.81124	1.95353	1.57625	3.08433	2.57648	2.04995	3.40101	2.37984	3.44176	1.88778	1.75167	4.43518
"ENSG00000001630"	"CYP51A1"	2.00259	2.65157	3.16891	2.25146	1.84099	2.56596	2.0624	2.02365	2.6583	1.92655	1.35011	1.98626	1.34731	3.48022	1.88823	2.32145	1.52327	2.54914	0.97314	1.80846	2.27639	4.17525	2.09009	1.51582
"ENSG00000001631"	"KRIT1"	3.94913	10.487	10.4954	7.95953	7.68173	9.4114	4.37959	5.78351	5.75433	6.96767	12.376	3.84696	3.53939	3.50369	3.83697	7.35777	5.13198	6.03875	5.33384	6.24783	5.59039	7.69663	3.39564	7.00172
"ENSG00000002016"	"RAD52"	3.27208	4.88204	5.9241	5.73442	4.59486	7.80679	3.10829	5.25499	3.86063	2.36501	2.42389	5.54223	3.925	3.92589	3.96512	6.84619	4.59232	3.14976	3.74533	2.7666	6.50722	4.03661	1.68245	4.3918
"ENSG00000002079"	"MYH16"	0	0	0	0.0682119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
