"Gene","logFC","adj.P.Val"
"CYP1B1",1.35789023861827,0.28322697968238
"GPR15",1.22413159952444,0.346377270056899
"MPP7",0.90279750303978,0.346377270056899
"PLVAP",-1.19570144633962,0.346377270056899
"NIPSNAP3A",0.847133716201606,0.346377270056899
"OSTM1",0.917149594140522,0.346377270056899
"TESC",-1.01157733245498,0.346377270056899
"FBXL5",0.760668744939412,0.346377270056899
"SERINC1",0.880828333233151,0.346377270056899
"NUP93",-0.66315414707012,0.346377270056899
"SAMD9",1.05120579564802,0.346377270056899
"LPAR6",1.01344348633311,0.346377270056899
"FANCL",0.804529811442732,0.346377270056899
"CCL4",-0.829521824204515,0.346377270056899
"BTF3L4",0.61049927768511,0.346377270056899
"LAMTOR3",0.915040392966057,0.346377270056899
"GIMAP2",0.826110626187893,0.346377270056899
"GAS7",0.611835566898868,0.346377270056899
"WTAP",0.575490347962436,0.346377270056899
"PROK2",0.888562878698339,0.346377270056899
"LGR6",-0.987666623302531,0.346377270056899
"ACTA2",-0.928649687139736,0.346377270056899
"CNIH",0.66968282141009,0.346377270056899
"SRGN",0.847502635341074,0.346377270056899
"IKBIP",0.898443339785251,0.346377270056899
"CCL4L1",-1.01025763252245,0.346377270056899
"DYNLT3",0.655451055798963,0.346377270056899
"CAPZA1",0.805180127830708,0.346377270056899
"ATP6V1G1",0.661752859083235,0.346377270056899
"RPL22L1",1.03829948417602,0.346377270056899
"PRKAR2B",1.13227107546623,0.346377270056899
"CNIH4",0.757287153754712,0.346377270056899
"CEP152",0.56042406017895,0.346377270056899
"ZNF613",0.561805260588727,0.346377270056899
"MMD",0.778418871968595,0.346377270056899
"ITSN2",0.649200797180434,0.346377270056899
"CEP19",0.74267181137889,0.346377270056899
"MAN1A1",0.916033726235263,0.346377270056899
"SLC4A7",0.682213002991015,0.346377270056899
"ANXA1",0.807194908946826,0.346377270056899
"ANXA3",1.30645048655721,0.346377270056899
"TNFSF10",0.79661966728592,0.346377270056899
"NCOR2",-0.634477927579725,0.346377270056899
"KRR1",0.680109526349663,0.346377270056899
"PRKACB",0.812674198511181,0.346377270056899
"MOB1A",0.639408256126036,0.346377270056899
"LIMS1",0.636343296171138,0.346377270056899
"ATP6V1C1",0.748801390252685,0.346377270056899
"CLIC4",0.676285328263493,0.346377270056899
"BTNL3",1.67287439150355,0.346377270056899
"FCHO2",0.939547072677931,0.346377270056899
"EFHC2",0.62274916667676,0.346377270056899
"RB1",0.843048319830669,0.346377270056899
"ST6GALNAC3",0.646682015684156,0.346377270056899
"DMXL2",0.805150744412701,0.346377270056899
"METTL9",0.601834956515332,0.346377270056899
"FGL2",0.667963140070332,0.346377270056899
"STT3B",0.633696600775075,0.346377270056899
"RGS18",1.27727997499268,0.346377270056899
"EVI2A",1.17967724187171,0.346377270056899
"IDH1",0.586300117001965,0.346377270056899
"POLE2",0.733159218234148,0.346377270056899
"FLNA",-0.692491335921899,0.346377270056899
"LYSMD2",0.557512773735616,0.346377270056899
"ESPN",-1.48665857085967,0.346377270056899
"ANKRD49",0.701595821939225,0.346377270056899
"RAB8B",0.757722007545383,0.346377270056899
"SLC40A1",0.769392745955647,0.346377270056899
"ABCA1",0.785296855939867,0.346377270056899
"ATP11C",0.683574244754785,0.346377270056899
"PIGK",0.746368161767538,0.346377270056899
"PEX2",0.792534144915489,0.346377270056899
"SCAF1",-0.518672939315681,0.346377270056899
"SLC30A1",0.638012506838179,0.346377270056899
"LTF",-1.6739446512966,0.346377270056899
"MIER1",0.675924809786437,0.346377270056899
"STRN3",0.596681004027638,0.346377270056899
"VWCE",-0.828415164375403,0.346377270056899
"EMB",0.618111838316287,0.346377270056899
"SOAT1",0.501580076606858,0.346377270056899
