"Gene Symbol","logFC","adj.P.Val","Regulation","Category","Biological Process (GO)","Protein Functions","Disease & Drugs"
"ABCA1",0.785296855939867,0.346377270056899,"Upregulated","Stress response","GO:0033552 response to vitamin B3;GO:0090108 positive regulation of high-density lipoprotein particle assembly;GO:0090107 regulation of high-density lipoprotein particle assembly","ABCA1 is a gene that encodes a membrane-associated protein belonging to the ATP-binding cassette (ABC) transporter superfamily. ABC proteins transport various molecules across extra- and intracellular membranes. ABC genes are divided into seven subfamilies, and ABCA1 is a member of the ABC1 subfamily, which is found exclusively in multicellular eukaryotes. This protein functions as a cholesterol efflux pump in the cellular lipid removal pathway, with cholesterol as its substrate. Mutations in both alleles of this gene cause Tangier disease and familial high-density lipoprotein (HDL) deficiency.","Mutations in the ABCA1 gene have been linked to several diseases, including Tangier disease and familial high-density lipoprotein (HDL) deficiency. Tangier disease is a rare autosomal recessive disorder characterized by a deficiency in HDL cholesterol, leading to the accumulation of cholesterol in various tissues and organs. This can result in enlarged spleen and liver, peripheral neuropathy, and increased risk of atherosclerosis. Familial HDL deficiency is a genetic disorder that leads to low levels of HDL cholesterol, which can increase the risk of cardiovascular disease.

Targeted drug discovery efforts have focused on developing drugs that can increase the expression and activity of ABCA1, thereby promoting cholesterol efflux and reducing the risk of atherosclerosis. One example is the drug anacetrapib, which inhibits the activity of cholesteryl ester transfer protein (CETP), leading to an increase in HDL cholesterol levels and a decrease in LDL cholesterol levels. Another example is the drug evacetrapib, which also inhibits CETP activity and has been shown to increase HDL cholesterol levels and reduce the risk of cardiovascular events in clinical trials.

In summary, ABCA1 is an important gene involved in cholesterol efflux and lipid metabolism, and mutations in this gene can lead to several diseases. Targeted drug discovery efforts have led to the development of drugs that can increase ABCA1 activity and reduce the risk of atherosclerosis, with anacetrapib and evacetrapib being examples of successful drugs on the market."
"ABHD13",0.649119205407784,0.346377270056899,"Upregulated",NA,"GO:0098734 macromolecule depalmitoylation;GO:0098732 macromolecule deacylation;GO:0043412 macromolecule modification","ABHD13 is a human gene that encodes a protein with a predicted function of palmitoyl-(protein) hydrolase activity. It is also predicted to be involved in protein depalmitoylation and is located in the membrane. Palmitoylation is a post-translational modification that involves the addition of a fatty acid, palmitate, to a protein. This modification plays a crucial role in regulating protein localization, stability, and function. ABHD13 may play a role in regulating palmitoylation by removing palmitate from proteins. Further research is needed to fully understand the function of ABHD13 and its potential implications in human health and disease.","There is limited information available on the disease implications of ABHD13. However, recent studies have suggested that mutations in ABHD13 may be associated with neurodevelopmental disorders such as autism spectrum disorder (ASD) and intellectual disability. Targeted drug discovery efforts for ABHD13 are currently underway, with a focus on developing small molecule inhibitors that can modulate its activity. However, there are currently no drugs on the market that specifically target ABHD13. Successful drug development efforts for other proteins involved in palmitoylation, such as DHHC enzymes, have led to the development of drugs such as palmostatin B and 2-bromopalmitate, which have shown promise in preclinical studies for the treatment of cancer and neurological disorders."
"ABHD3",0.64579904261144,0.363646404700934,"Upregulated",NA,"GO:0051793 medium-chain fatty acid catabolic process;GO:0051792 medium-chain fatty acid biosynthetic process;GO:0051791 medium-chain fatty acid metabolic process","ABHD3 is a human gene that encodes a protein with an alpha/beta hydrolase fold, a catalytic domain found in many enzymes. However, the function of this protein is currently unknown.","There is limited information available on the disease implications of ABHD3. However, some studies have suggested that it may play a role in cancer progression and metastasis. Targeted drug discovery efforts for ABHD3 are currently underway, with a focus on identifying small molecule inhibitors that can selectively target the protein. While there are no drugs currently on the market that specifically target ABHD3, there are several drugs that target other alpha/beta hydrolase fold proteins, such as acetylcholinesterase inhibitors used to treat Alzheimer's disease and organophosphate poisoning. These drugs provide a starting point for the development of ABHD3-targeted therapies."
"ABI3",-0.544676679086274,0.424500404638031,"Downregulated",NA,"GO:0010593 negative regulation of lamellipodium assembly;GO:1900028 negative regulation of ruffle assembly;GO:1902744 negative regulation of lamellipodium organization","ABI3 is a gene that encodes a protein belonging to the adaptor protein family. The protein contains a homeobox homology domain, proline-rich region, and Src-homology 3 (SH3) domain. It is a component of the Abi/WAVE complex that regulates actin polymerization. The encoded protein inhibits the spread of tumor cells and cell migration, possibly by interacting with p21-activated kinase. Alternative splicing of the gene results in multiple transcript variants.","Research has shown that ABI3 may play a role in various diseases, including cancer, Alzheimer's disease, and autoimmune disorders. In cancer, ABI3 has been found to be downregulated in several types of tumors, including breast, lung, and ovarian cancer. This suggests that ABI3 may act as a tumor suppressor and its loss may contribute to cancer progression. Targeted drug discovery efforts for ABI3 are still in the early stages, but there is potential for developing drugs that can restore its function as a tumor suppressor. One example of a successful drug on the market that targets a similar pathway is Imatinib, which inhibits the activity of the BCR-ABL fusion protein in chronic myeloid leukemia. However, more research is needed to fully understand the role of ABI3 in disease and to develop effective targeted therapies."
"ACADM",0.566160687312106,0.35125917880389,"Upregulated",NA,"GO:0019254 carnitine metabolic process, CoA-linked;GO:0045329 carnitine biosynthetic process;GO:0051793 medium-chain fatty acid catabolic process","The ACADM gene encodes the acyl-CoA dehydrogenase medium chain enzyme, which is responsible for catalyzing the first step of the mitochondrial fatty acid beta-oxidation pathway. This enzyme specifically targets straight chain fatty acids with a length of C4 to C12. Mutations in this gene can lead to medium-chain acyl-CoA dehydrogenase deficiency, a disease that can cause liver dysfunction, hypoglycemia, and encephalopathy, which can be fatal in infants. Different isoforms of the enzyme are produced through alternative splicing of the gene.","Medium-chain acyl-CoA dehydrogenase deficiency (MCADD) is an autosomal recessive disorder caused by mutations in the ACADM gene. MCADD is characterized by the inability to break down medium-chain fatty acids, leading to a buildup of toxic metabolites and subsequent metabolic crises. Symptoms of MCADD include vomiting, lethargy, seizures, and hypoglycemia. Treatment involves avoiding fasting and ensuring a high-carbohydrate diet. There are currently no targeted drug therapies for MCADD, but research is ongoing to identify potential drug targets. One example is the use of triheptanoin, a triglyceride that can be metabolized to produce ketone bodies, which can serve as an alternative energy source for the body. Another example is the use of bezafibrate, a drug that has been shown to increase the expression of genes involved in fatty acid oxidation. However, further research is needed to determine the efficacy and safety of these treatments."
"ACAP2",0.752258774068845,0.349648568890495,"Upregulated","Stress response","GO:1990090 cellular response to nerve growth factor stimulus;GO:1990089 response to nerve growth factor;GO:0032456 endocytic recycling","ACAP2 is a human gene that encodes for a protein called ArfGAP with coiled-coil, ankyrin repeat and PH domains 2. This protein has the ability to activate GTPase and is involved in actin filament-based processes. ACAP2 is located in the ruffle, which is a specialized structure on the cell surface that is involved in cell movement and adhesion. The exact function of ACAP2 is not fully understood, but it is believed to play a role in regulating the actin cytoskeleton and cell migration. Mutations in the ACAP2 gene have been associated with various diseases, including cancer and developmental disorders.","Mutations in the ACAP2 gene have been associated with various diseases, including cancer and developmental disorders. In particular, ACAP2 has been found to be overexpressed in several types of cancer, including breast, lung, and prostate cancer. This overexpression has been linked to increased tumor growth and metastasis. As a result, there has been interest in developing drugs that target ACAP2 as a potential cancer therapy. However, there are currently no drugs on the market that specifically target ACAP2. Research efforts are ongoing to identify small molecules or other compounds that can inhibit ACAP2 activity and potentially be developed into effective cancer treatments."
"ACSL4",0.805148658134359,0.370553837168732,"Upregulated",NA,"GO:0032307 negative regulation of prostaglandin secretion;GO:0032304 negative regulation of icosanoid secretion;GO:2000192 negative regulation of fatty acid transport","ACSL4 is a gene that encodes an enzyme belonging to the long-chain fatty-acid-coenzyme A ligase family. This enzyme is involved in the conversion of free long-chain fatty acids into fatty acyl-CoA esters, which play a crucial role in lipid biosynthesis and fatty acid degradation. ACSL4 is unique in that it prefers arachidonate as a substrate. The absence of this enzyme may contribute to cognitive disability or Alport syndrome. Alternative splicing of this gene generates multiple transcript variants.","ACSL4 has been implicated in several diseases, including cancer, Alzheimer's disease, and X-linked intellectual disability. In cancer, ACSL4 has been shown to promote tumor growth and metastasis, making it a potential target for cancer therapy. In Alzheimer's disease, ACSL4 has been found to be upregulated in the brain, and its inhibition has been shown to improve cognitive function in animal models. In X-linked intellectual disability, mutations in the ACSL4 gene have been linked to cognitive impairment.

Several drug discovery efforts have targeted ACSL4. One approach is to develop small molecule inhibitors that can block the enzyme's activity. Another approach is to use RNA interference to silence the expression of the gene. While there are currently no drugs on the market that specifically target ACSL4, there are several drugs that indirectly affect its activity. For example, statins, which are commonly used to lower cholesterol levels, have been shown to inhibit ACSL4 expression. Additionally, some nonsteroidal anti-inflammatory drugs (NSAIDs) have been found to inhibit ACSL4 activity."
"ACTA2",-0.928649687139736,0.346377270056899,"Downregulated",NA,"GO:0061873 regulation of hepatic stellate cell contraction;GO:0061874 positive regulation of hepatic stellate cell contraction;GO:0061869 regulation of hepatic stellate cell migration","ACTA2 is a gene that encodes for a smooth muscle actin protein involved in cell motility, structure, integrity, and intercellular signaling. It plays a crucial role in vascular contractility and blood pressure regulation. Mutations in this gene have been linked to various vascular diseases, including thoracic aortic disease, coronary artery disease, stroke, and Moyamoya disease, as well as multisystemic smooth muscle dysfunction syndrome.","Mutations in the ACTA2 gene have been associated with various vascular diseases, including thoracic aortic disease, coronary artery disease, stroke, and Moyamoya disease, as well as multisystemic smooth muscle dysfunction syndrome. Targeted drug discovery efforts have focused on developing drugs that can modulate the activity of smooth muscle cells and improve vascular function. One example is losartan, an angiotensin receptor blocker that has been shown to reduce aortic dilation in patients with Marfan syndrome, a genetic disorder that affects connective tissue and can lead to aortic aneurysm. Another example is imatinib, a tyrosine kinase inhibitor that has been used to treat pulmonary arterial hypertension by inhibiting the proliferation of smooth muscle cells in the pulmonary artery. However, more research is needed to fully understand the role of ACTA2 in vascular disease and to develop effective targeted therapies."
"ACTBP12",NA,NA,NA,NA,NA,NA,NA
"ACTR3P2",NA,NA,NA,NA,NA,NA,NA
