"Gene Symbol","logFC","adj.P.Val","Regulation","Category","Biological Process (GO)","Protein Functions","Disease & Drugs"
"MIR1307",1.94725733273772,0.370553837168732,"Upregulated",NA,"GO:0035195 miRNA-mediated post-transcriptional gene silencing;GO:0035194 regulatory ncRNA-mediated post-transcriptional gene silencing;GO:0016441 post-transcriptional gene silencing",NA,NA
"DNAJC25-GNG10",1.79406576298991,0.370553837168732,"Upregulated",NA,NA,"The DNAJC25-GNG10 gene is a naturally occurring mRNA that is a combination of the first exon of DNAJC25 and the last two exons of GNG10. This results in a protein that combines the N-terminus of DNAJC25 and the C-terminus of GNG10. The gene is a readthrough of the neighboring DNAJC25 and GNG10 genes.","There is limited information available on the disease implications of the DNAJC25-GNG10 gene. However, studies have shown that GNG10, one of the genes involved in the readthrough, is associated with various diseases such as cancer, cardiovascular diseases, and neurological disorders. Targeted drug discovery efforts for GNG10 have focused on developing drugs that can modulate its activity, particularly in cancer treatment. One example is the drug Gallein, which inhibits the activity of GNG10 and has shown promising results in preclinical studies for the treatment of breast cancer. Another example is the drug Plerixafor, which targets the CXCR4 receptor that is regulated by GNG10 and is used in stem cell mobilization for transplantation. However, there is currently no information available on any targeted drug discovery efforts or successful drugs specifically targeting the DNAJC25-GNG10 gene."
"RC3H2",1.74762061542333,0.349648568890495,"Upregulated","Stress response","GO:0061470 T follicular helper cell differentiation;GO:2000320 negative regulation of T-helper 17 cell differentiation;GO:2000317 negative regulation of T-helper 17 type immune response","RC3H2 is a human gene that encodes a protein with ring finger and CCCH-type domains. This protein is involved in nucleic acid binding and ubiquitin protein ligase activity, which is important for protein polyubiquitination. RC3H2 is located in various parts of the cell, including the cell surface, intracellular membrane-bounded organelles, and membranes. This gene's function is essential for maintaining proper protein regulation and cellular processes.","There is limited information available on the disease implications of RC3H2. However, recent studies have suggested that mutations in this gene may be associated with the development of certain cancers, including lung cancer and hepatocellular carcinoma. Targeted drug discovery efforts for RC3H2 are still in the early stages, but there is potential for this gene to be targeted in cancer therapy. One example of a successful drug targeting a similar protein is thalidomide, which targets the E3 ubiquitin ligase cereblon and is used to treat multiple myeloma. However, further research is needed to fully understand the role of RC3H2 in disease and to develop effective targeted therapies."
"LTF",-1.6739446512966,0.346377270056899,"Downregulated",NA,"GO:2000308 negative regulation of tumor necrosis factor (ligand) superfamily member 11 production;GO:1900159 positive regulation of bone mineralization involved in bone maturation;GO:1900190 regulation of single-species biofilm formation","LTF, or lactotransferrin, is a gene that produces a protein found in the secondary granules of neutrophils. The protein is a major iron-binding protein in milk and body secretions and has antimicrobial properties, making it an important component of the non-specific immune system. LTF has a broad range of properties, including regulation of iron homeostasis, host defense against microbial infections, anti-inflammatory activity, regulation of cellular growth and differentiation, and protection against cancer development and metastasis. The protein and its peptides have been found to have antimicrobial, antiviral, antifungal, and antiparasitic activity, including activity against SARS-CoV-2 and HIV.","LTF has been implicated in various diseases, including cancer, infections, and inflammatory disorders. In cancer, LTF has been shown to have a protective effect against tumor growth and metastasis, and its levels have been found to be decreased in certain types of cancer, such as breast and prostate cancer. In infections, LTF plays a role in host defense against microbial pathogens, and its levels have been found to be increased in response to infections. In inflammatory disorders, LTF has anti-inflammatory properties and has been shown to reduce inflammation in various models of inflammation.

Targeted drug discovery efforts have focused on developing drugs that modulate the activity of LTF or its peptides. For example, lactoferrin-derived peptides have been developed as potential antimicrobial agents, and lactoferrin-based drugs have been developed for the treatment of inflammatory disorders and cancer. One example of a successful drug on the market is Talactoferrin alfa, a recombinant human lactoferrin that has been approved for the treatment of non-small cell lung cancer. Talactoferrin alfa has been shown to have immunomodulatory and anti-inflammatory properties, and it has been found to improve overall survival in patients with advanced non-small cell lung cancer."
"BTNL3",1.67287439150355,0.346377270056899,"Upregulated",NA,"GO:0033078 extrathymic T cell differentiation;GO:0045062 extrathymic T cell selection;GO:0045058 T cell selection","BTNL3 is a human gene that is predicted to be involved in T cell receptor signaling pathway and regulation of cytokine production. It is also predicted to enable signaling receptor binding activity and to be an integral component of the membrane, active in the external side of the plasma membrane. The function of this gene is not fully understood, but it has been associated with various diseases, including inflammatory bowel disease and multiple sclerosis. Further research is needed to fully understand the role of BTNL3 in human health and disease.","BTNL3 has been associated with several autoimmune diseases, including inflammatory bowel disease (IBD) and multiple sclerosis (MS). In IBD, BTNL3 has been found to be upregulated in the inflamed intestinal mucosa, suggesting a potential role in the pathogenesis of the disease. In MS, BTNL3 has been identified as a susceptibility gene, with certain variants of the gene increasing the risk of developing the disease.

There are currently no drugs specifically targeting BTNL3, but research efforts are ongoing to identify potential therapeutic targets in the T cell receptor signaling pathway and cytokine regulation pathways, which are predicted to be influenced by BTNL3. One example is the use of anti-TNF-alpha therapy in IBD, which targets the cytokine TNF-alpha that is involved in the inflammatory response. Another example is the use of interferon-beta in MS, which modulates the immune response and has been shown to reduce disease activity in some patients.

Overall, further research is needed to fully understand the role of BTNL3 in disease and to identify potential drug targets for the treatment of autoimmune diseases."
"IMMP1L",1.63689852178645,0.370553837168732,"Upregulated","Signal transduction","GO:0006627 protein processing involved in protein targeting to mitochondrion;GO:0006465 signal peptide processing;GO:0034982 mitochondrial protein processing","IMMP1L is a gene that encodes for the catalytic subunit of the mitochondrial inner membrane peptidase (IMP) complex. This complex is responsible for removing the mitochondrial targeting presequence of nuclear-encoded proteins, generating mature and active proteins in the mitochondrial intermembrane space. IMMP1L works in conjunction with another catalytic subunit, IMP2, to carry out this process. The gene was first identified in 2005 and its function is important for proper mitochondrial function and cellular metabolism.","There is limited information available on the disease implications of IMMP1L mutations. However, studies have suggested that mutations in this gene may be associated with mitochondrial dysfunction and metabolic disorders. Targeted drug discovery efforts for IMMP1L are also limited, as the function of this gene is not well understood. However, there have been some successful drugs on the market that target mitochondrial function and metabolism, which may indirectly impact IMMP1L. For example, metformin, a drug commonly used to treat type 2 diabetes, has been shown to improve mitochondrial function and reduce oxidative stress. Another example is idebenone, a drug used to treat Leber's hereditary optic neuropathy, which works by improving mitochondrial function and reducing oxidative stress. While these drugs do not directly target IMMP1L, they may have beneficial effects on mitochondrial function and metabolism, which could indirectly impact the function of this gene."
"SNORA49",1.61700299943493,0.367978881795721,"Upregulated",NA,"GO:0006396 RNA processing;GO:0032774 RNA biosynthetic process;GO:0141187 nucleic acid biosynthetic process",NA,NA
"LYPD2",-1.58502731385759,0.361902765526877,"Downregulated",NA,NA,"LYPD2 is a human gene that encodes for a protein containing the LY6/PLAUR domain. This protein is predicted to be located in the extracellular region and plasma membrane. The function of LYPD2 is not well understood, but it may play a role in cell signaling or adhesion. Further research is needed to fully understand the function of this gene and its potential implications for human health.","There is limited information available on the disease implications of LYPD2. However, some studies have suggested that it may be involved in the development and progression of certain types of cancer, including breast and ovarian cancer. Targeted drug discovery efforts for LYPD2 are also limited, as its function is not well understood. However, some studies have suggested that targeting LYPD2 may have potential therapeutic benefits in cancer treatment. Currently, there are no drugs on the market that specifically target LYPD2. However, there are several drugs that target other proteins in the LY6/PLAUR domain family, such as urokinase-type plasminogen activator receptor (uPAR), which have been approved for the treatment of certain types of cancer."
"ESPN",-1.48665857085967,0.346377270056899,"Downregulated",NA,"GO:0030034 microvillar actin bundle assembly;GO:0030046 parallel actin filament bundle assembly;GO:0030033 microvillus assembly","The human gene ESPN, also known as espin, encodes a protein that plays a crucial role in regulating the organization and signaling capacities of actin filament-rich microvilli in sensory cells. These microvilli are responsible for sensory transduction in various mechanosensory and chemosensory cells. Mutations in this gene are associated with both autosomal recessive neurosensory deafness and autosomal dominant sensorineural deafness without vestibular involvement. The espin protein is a multifunctional actin-bundling protein that is essential for the proper functioning of sensory cells.","There are currently no targeted drug discovery efforts for the ESPN gene, as the mutations associated with deafness are primarily genetic and cannot be treated with medication. However, there are several treatment options available for individuals with hearing loss, including hearing aids, cochlear implants, and auditory training. Additionally, research is ongoing to develop gene therapies that could potentially correct the genetic mutations associated with deafness. There are currently no drugs on the market that specifically target the ESPN gene, but there are several drugs used to treat hearing loss, including corticosteroids and diuretics. These drugs are typically used to treat specific underlying conditions that can cause hearing loss, such as autoimmune disorders or Meniere's disease."
"IGLV3-27",1.48327118259003,0.361902765526877,"Upregulated","Stress response","GO:0002250 adaptive immune response;GO:0006955 immune response;GO:0002376 immune system process",NA,NA
