"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","protein binding","GO:0005515","true","1.363601568617967e-13","12.86531250785255","15082","559","494","20208","CYP1B1,GPR15,MPP7,PLVAP,NIPSNAP3A,OSTM1,TESC,FBXL5,SERINC1,NUP93,SAMD9,LPAR6,FANCL,CCL4,BTF3L4,LAMTOR3,GIMAP2,GAS7,WTAP,PROK2,LGR6,ACTA2,CNIH,SRGN,IKBIP,CCL4L1,DYNLT3,CAPZA1,ATP6V1G1,RPL22L1,PRKAR2B,CNIH4,CEP152,ZNF613,MMD,ITSN2,CEP19,MAN1A1,SLC4A7,ANXA1,ANXA3,TNFSF10,NCOR2,KRR1,PRKACB,MOB1A,LIMS1,ATP6V1C1,CLIC4,BTNL3,FCHO2,C9ORF72,EFHC2,RB1,ST6GALNAC3,DMXL2,METTL9,FGL2,STT3B,RGS18,EVI2A,IDH1,POLE2,FLNA,LYSMD2,ESPN,ANKRD49,RAB8B,SLC40A1,ABCA1,ATP11C,PIGK,PEX2,SCAF1,SLC30A1,LTF,MIER1,STRN3,VWCE,EMB,SOAT1,HAT1,MED21,TNPO1,SLC35A5,BIRC2,IFIT5,ARL8B,CD164,SRC,STAG2,BBS10,GMFB,MBNL1,SPOPL,BAZ1A,FAM20A,CTSS,POC1B,UBE2J1,DHRS9,POLR2M,FEM1C,MAP4,YTHDF3,CDC40,ERC1,TAF7,RCHY1,SLC8A1,AGTPBP1,DNAJB14,UBA3,LMBRD1,SLC35A1,SLK,SLC30A5,CD274,NRG1,RNF139,ADAM17,LRRC26,NRN1L,TMEM123,DPH3,TDP2,ARHGAP33,CASP3,DPM1,RHOT1,PPIL4,GABPA,PLSCR1,MIB1,TRAM1,LRRC40,AIDA,MRC2,VNN2,PPP1CB,PGRMC1,RAB33B,YIPF4,PLEKHF2,PHF20L1,RECQL,DNAJC3,NSL1,EFHA1,ACAP2,IPMK,TMX1,SART1,TMEM71,PCNP,MEF2A,MTHFD2,PGM2,N4BP2L2,ATP11B,TAX1BP1,RNF11,ITM2A,COPS2,PPIP5K2,PTPN22,PTPRC,WDFY2,IQCB1,TNFSF13B,RAP1B,LRRN2,STX7,SHOC2,TIA1,ACADM,SNX16,ALDOC,MAP3K1,ATF2,SPAG1,MSL3,SRP9,DENND4A,GSN,G6PD,KYNU,TGDS,CCDC86,PCMT1,CHMP5,ZRANB2,OSBPL8,MOSPD2,PHF6,SEMA6C,TGFBR1,STAM2,KIF5B,TMEM41B,CCR2,FAR1,MOB4,DCUN1D5,HLX,ZFPM1,TSPAN2,BIRC3,ZNF92,ZNF24,BNIP2,FBXO30,CDC42EP2,UHMK1,CD46,PDCD10,RNF138,CUL4B,DEK,CD36,IDH3G,CSNK1G3,LYPD2,POLR2K,MS4A6A,GOLPH3L,TMEM167A,SCOC,TEFM,JUP,AP1S2,SPAST,PPP4R1,FAM8A1,CD226,RNFT1,TRPM7,KBTBD7,SENP6,TLR10,DBI,LRRC70,SLC22A4,DAPP1,SLC25A40,SH3BGRL2,TMCO1,UBE2D1,HAUS1,VMP1,GLRX,IFI6,TPGS2,EPHA1,KRCC1,ICOS,ANKHD1-EIF4EBP3,CCPG1,SFRP2,NPHP3,NBN,LGALSL,B3GNT2,GNAQ,VCPIP1,GNA13,MS4A4A,PRF1,MSH5,NOXA1,IFIT1,PRRG4,ALCAM,SAMD8,STK3,GLI1,PPM1A,IFT172,SACM1L,CHURC1,RFX2,BAG1,CAPZA2,FAM91A1,SUB1,C3,UBE2W,CREB5,CCP110,GK,TMED5,PRUNE2,CMTM6,IL18BP,ROCK1,B3GAT1,VPS36,TMEM30A,SLU7,PSMC6,TLR5,MT-ATP6,RICTOR,TBL1XR1,ICA1,XRCC4,CPSF1,OSGIN1,S100A12,COX7A2,RAD1,CCNT2,TMEM170B,PJA2,NT5C3,VBP1,DNAJC25-GNG10,IFI27,RB1CC1,VRK1,WDFY1,DNAL1,UPK3A,PRR5L,AQP9,RIT1,MYEOV,PER1,TMX3,KCNJ2,JMJD1C,TM6SF1,RWDD3,ZEB1,MAOA,MT-CO2,IQGAP2,SP3,KCTD12,RP2,ATP1A3,NKG7,USP1,MNDA,HMGB2,NRBF2,TXN,YPEL5,KREMEN1,DHX36,BCL6,C18ORF32,RRM2B,RCBTB1,EMID1,ARHGEF17,MATN2,DISC1,NUFIP2,CSTA,SUZ12,SCAMP5,CD74,PDZK1IP1,HSP90AA1,THAP5,RNASE1,NEK7,ARRDC3,CD48,FRMD3,ERGIC2,CXCL5,RSL24D1,ZNF281,POLE4,UBXN2B,MMRN1,SOS2,FOXN2,TLR4,MT-ND1,TLR9,DDX3X,IER3IP1,RGS9,CDKN3,RAB36,SAMD9L,SIAH2,DUSP8,APOBEC3A,CABP4,SEMA6B,SPDYC,MAP1S,TLR8,ALOX15,TGFA,PCMTD2,SNX4,JAZF1,C5ORF24,CEPT1,CCL3L3,PDXP,WNT10A,MTMR6,LY96,FNIP1,CHPT1,PIK3R6,LRRK2,SLC38A2,ZNF230,SPNS3,ADD3,NAAA,GIMAP7,SNX10,MT-ND2,S100A8,USP10,MEF2C,HBB,ADAM10,TNFAIP6,BAIAP2L1,PSMA6,ZBTB34,PPP4R2,ARL11,UBXN4,LMNB1,PLXNC1,PAG1,JAK2,FBXO7,DCK,RASA2,XRRA1,ABI3,CD58,SRPK1,SF3A2,LDOC1,BRCA2,IL6ST,TAC3,GAS8,ARGLU1,MBNL3,HJURP,ZNF534,GPR162,ZDHHC20,KIF27,KIR2DL1,SCYL2,MFN1,APPL2,BACH1,PPP1R12A,MAK,COMMD8,C1GALT1,IFI44,KLHDC8B,PKN2,ZNF22,P2RX1,ZFYVE16,RNF13,RBM47,FAM20C,ANKRD28,DBP,IFNGR1,TPT1,NAMPT,CLEC4D,RUNDC3A,IFIT2,ARID4B,LTC4S,ZDHHC17,TNS1,PPM1B,CLK1,B4GALT7,SENP7,S1PR5,NT5E,PIK3CA"
"GO:MF","ion binding","GO:0043167","false","0.001328572173002379","2.8766148481146074","6253","559","224","20208","CYP1B1,TESC,FBXL5,FANCL,GIMAP2,ACTA2,PRKAR2B,ZNF613,ITSN2,MAN1A1,ANXA1,ANXA3,TNFSF10,PRKACB,MOB1A,LIMS1,FCHO2,EFHC2,STT3B,IDH1,RAB8B,SLC40A1,ABCA1,ATP11C,PEX2,SLC30A1,LTF,VWCE,SOAT1,POLK,BIRC2,ARL8B,SRC,BBS10,PLA2G4A,MBNL1,BAZ1A,FAM20A,UBE2J1,CPNE9,ZNF654,RCHY1,SLC8A1,AGTPBP1,UBA3,SLK,SLC30A5,NRG1,RNF139,ADAM17,DPH3,TDP2,STK17B,DPM1,ARL5A,RHOT1,PLSCR1,RC3H2,MIB1,ZNF701,PPP1CB,PGRMC1,RAB33B,CYB5R4,PLEKHF2,PHF20L1,RECQL,EFHA1,ACAP2,HIPK3,IPMK,TRIM52,MTHFD2,PGM2,ATP11B,TAX1BP1,RNF11,SLC25A24,PPIP5K2,WDFY2,RAP1B,RBM14-RBM4,ACADM,MAP3K1,ATF2,SPAG1,GSN,KYNU,ZRANB2,OSBPL8,PHF6,TGFBR1,KIF5B,GALNT1,MOB4,TIMM8B,ZFPM1,BIRC3,ZNF92,ZNF24,PNPLA8,BNIP2,FBXO30,ZNF608,UHMK1,RNF138,RAB44,IDH3G,CSNK1G3,POLR2K,GOLPH3L,SPAST,RNFT1,TRPM7,DBI,SLC22A4,DAPP1,UBE2D1,GALNT3,EPHA1,GNAQ,GNA13,PRF1,MSH5,PRRG4,STK3,GLI1,PPM1A,CHURC1,TKTL1,UBE2W,CREB5,ACSL4,GK,PRUNE2,ROCK1,B3GAT1,SLU7,PSMC6,RICTOR,S100A12,PJA2,NT5C3,VRK1,WDFY1,RIT1,KCNJ2,JMJD1C,ZEB1,MAOA,MT-CO2,IQGAP2,SP3,RP2,ATP1A3,YPEL5,DHX36,BCL6,RRM2B,MATN2,SUZ12,EDEM3,HSP90AA1,THAP5,NEK7,DSE,ZNF281,MMP23B,MMRN1,DDX3X,RAB36,SIAH2,APOBEC3A,CABP4,ALOX15,JAZF1,CEPT1,PDXP,RASA4B,FNIP1,CHPT1,LRRK2,ZNF230,STEAP4,GIMAP7,ZNF514,CARNS1,S100A8,MT-CYB,HBB,ADAM10,TNFAIP6,PSMA6,ZBTB34,ARL11,JAK2,DCK,RASA2,SRPK1,SF3A2,MBNL3,ZNF534,ZDHHC20,KIF27,SCYL2,MFN1,APPL2,MAK,C1GALT1,PKN2,ZNF22,P2RX1,ZFYVE16,RNF13,FAM20C,TPT1,CLEC4D,TNS1,PPM1B,CLK1,B4GALT7,NT5E,ZNF267,PIK3CA"
"GO:MF","catalytic activity","GO:0003824","true","0.002174637449818335","2.6626131371772583","5753","559","208","20208","CYP1B1,FBXL5,FANCL,ST3GAL6,ACTA2,ATP6V1G1,MMD,ASNSD1,MAN1A1,PRKACB,ABHD13,CLIC4,PLD4,ST6GALNAC3,METTL9,STT3B,RGS18,IDH1,POLE2,RAB8B,ABCA1,ATP11C,PIGK,PEX2,LTF,MIER1,SOAT1,HAT1,MED21,POLK,BIRC2,ARL8B,SRC,PLA2G4A,CTSS,UBE2J1,DHRS9,RCHY1,AGTPBP1,UBA3,SLK,RNF139,ADAM17,TDP2,CASP3,STK17B,DPM1,ARL5A,RHOT1,PPIL4,PLSCR1,RC3H2,MIB1,VNN2,PPP1CB,RAB33B,CYB5R4,RECQL,HIPK3,IPMK,TMX1,TRIM52,MTHFD2,PGM2,PTAR1,ATP11B,RNF11,PPIP5K2,PTPN22,PTPRC,RAP1B,ACADM,ALDOC,MAP3K1,ATF2,SPAG1,G6PD,KYNU,TGDS,PCMT1,TGFBR1,KIF5B,GALNT1,FAR1,BIRC3,PNPLA8,FBXO30,UHMK1,RNF138,RAB44,IDH3G,CSNK1G3,POLR2K,SPAST,PPP4R1,ABHD3,RNFT1,TRPM7,SENP6,TLR10,UBE2D1,GALNT3,GLRX,EPHA1,B3GNT2,GNAQ,VCPIP1,GNA13,MSH5,PRRG4,SAMD8,STK3,PPM1A,SACM1L,IMMP1L,SUB1,TKTL1,UBE2W,ACSL4,GK,PRUNE2,ROCK1,B3GAT1,SLU7,PSMC6,MT-ATP6,VNN1,COX7A2,RAD1,PJA2,NT5C3,VRK1,CTBS,RIT1,TMX3,JMJD1C,MAOA,MT-CO2,ATP1A3,USP1,TXN,DHX36,RRM2B,PLCXD2,PPIAL4G,EDEM3,HSP90AA1,RNASE1,NEK7,TMX4,DSE,POLE4,MMP23B,TLR4,MT-ND1,DDX3X,RGS9,CTSW,CDKN3,RAB36,SIAH2,DUSP8,APOBEC3A,ALOX15,PCMTD2,CEPT1,PDXP,MTMR6,CHPT1,PIK3R6,LRRK2,STEAP4,NAAA,GIMAP7,CARNS1,PIGB,MT-ND4,USP10,MT-CYB,HBB,ADAM10,TNFAIP6,PSMA6,ARL11,JAK2,FBXO7,DCK,SRPK1,BRCA2,ZDHHC20,KIF27,SCYL2,MFN1,MAK,C1GALT1,PKN2,RNF13,FAM20C,NAMPT,LTC4S,ZDHHC17,TNS1,PPM1B,CLK1,B4GALT7,SENP7,NT5E,PIK3CA"
"GO:MF","small molecule binding","GO:0036094","false","0.004050858539449819","2.3924529226048685","6446","559","227","20208","CYP1B1,TESC,FBXL5,FANCL,GIMAP2,ACTA2,PRKAR2B,ZNF613,ITSN2,MAN1A1,ANXA1,ANXA3,TNFSF10,PRKACB,MOB1A,LIMS1,FCHO2,EFHC2,STT3B,IDH1,RAB8B,SLC40A1,ABCA1,ATP11C,PEX2,SLC30A1,LTF,VWCE,SOAT1,POLK,BIRC2,ARL8B,SRC,BBS10,PLA2G4A,MBNL1,BAZ1A,FAM20A,UBE2J1,CPNE9,ZNF654,RCHY1,SLC8A1,AGTPBP1,UBA3,LMBRD1,SLK,SLC30A5,NRG1,RNF139,ADAM17,DPH3,TDP2,STK17B,DPM1,ARL5A,RHOT1,PLSCR1,RC3H2,MIB1,ZNF701,PPP1CB,PGRMC1,RAB33B,CYB5R4,PLEKHF2,PHF20L1,RECQL,EFHA1,ACAP2,HIPK3,IPMK,TRIM52,MTHFD2,PGM2,ATP11B,TAX1BP1,RNF11,SLC25A24,PPIP5K2,WDFY2,RAP1B,RBM14-RBM4,ACADM,MAP3K1,ATF2,SPAG1,GSN,G6PD,KYNU,ZRANB2,OSBPL8,PHF6,TGFBR1,KIF5B,GALNT1,MOB4,TIMM8B,ZFPM1,BIRC3,ZNF92,ZNF24,PNPLA8,BNIP2,FBXO30,ZNF608,UHMK1,RNF138,RAB44,IDH3G,CSNK1G3,POLR2K,GOLPH3L,SPAST,RNFT1,TRPM7,DBI,SLC22A4,DAPP1,UBE2D1,GALNT3,EPHA1,GNAQ,GNA13,PRF1,MSH5,PRRG4,STK3,GLI1,PPM1A,CHURC1,TKTL1,UBE2W,CREB5,ACSL4,GK,PRUNE2,ROCK1,B3GAT1,SLU7,PSMC6,RICTOR,S100A12,PJA2,NT5C3,VRK1,WDFY1,RIT1,KCNJ2,JMJD1C,ZEB1,MAOA,MT-CO2,IQGAP2,SP3,RP2,ATP1A3,YPEL5,DHX36,BCL6,RRM2B,MATN2,SUZ12,EDEM3,HSP90AA1,THAP5,NEK7,DSE,ZNF281,MMP23B,MMRN1,DDX3X,RAB36,SIAH2,APOBEC3A,CABP4,ALOX15,JAZF1,CEPT1,PDXP,RASA4B,FNIP1,CHPT1,LRRK2,ZNF230,STEAP4,GIMAP7,ZNF514,CARNS1,S100A8,MT-ND4,MT-CYB,HBB,ADAM10,TNFAIP6,PSMA6,ZBTB34,ARL11,JAK2,DCK,RASA2,SRPK1,SF3A2,MBNL3,ZNF534,ZDHHC20,KIF27,SCYL2,MFN1,APPL2,MAK,C1GALT1,PKN2,ZNF22,P2RX1,ZFYVE16,RNF13,FAM20C,TPT1,CLEC4D,TNS1,PPM1B,CLK1,B4GALT7,NT5E,ZNF267,PIK3CA"
"GO:MF","metal ion binding","GO:0046872","false","0.006520283964428299","2.185733489927775","4450","559","166","20208","CYP1B1,TESC,FBXL5,FANCL,ZNF613,ITSN2,MAN1A1,ANXA1,ANXA3,TNFSF10,PRKACB,MOB1A,LIMS1,EFHC2,STT3B,IDH1,SLC40A1,ATP11C,PEX2,SLC30A1,LTF,VWCE,POLK,BIRC2,PLA2G4A,MBNL1,BAZ1A,FAM20A,CPNE9,ZNF654,RCHY1,SLC8A1,AGTPBP1,SLC30A5,NRG1,RNF139,ADAM17,DPH3,TDP2,DPM1,RHOT1,PLSCR1,RC3H2,MIB1,ZNF701,PPP1CB,PGRMC1,CYB5R4,PLEKHF2,PHF20L1,RECQL,EFHA1,ACAP2,IPMK,TRIM52,MTHFD2,PGM2,ATP11B,TAX1BP1,RNF11,SLC25A24,WDFY2,RBM14-RBM4,MAP3K1,ATF2,GSN,ZRANB2,PHF6,TGFBR1,GALNT1,MOB4,TIMM8B,ZFPM1,BIRC3,ZNF92,ZNF24,BNIP2,FBXO30,ZNF608,RNF138,RAB44,IDH3G,POLR2K,RNFT1,TRPM7,GALNT3,GNAQ,GNA13,PRF1,PRRG4,STK3,GLI1,PPM1A,CHURC1,TKTL1,CREB5,GK,PRUNE2,ROCK1,B3GAT1,SLU7,RICTOR,S100A12,PJA2,NT5C3,WDFY1,JMJD1C,ZEB1,MT-CO2,SP3,RP2,ATP1A3,YPEL5,DHX36,BCL6,RRM2B,MATN2,SUZ12,EDEM3,THAP5,NEK7,DSE,ZNF281,MMP23B,MMRN1,SIAH2,APOBEC3A,CABP4,ALOX15,JAZF1,CEPT1,PDXP,RASA4B,FNIP1,CHPT1,LRRK2,ZNF230,STEAP4,ZNF514,CARNS1,S100A8,MT-CYB,HBB,ADAM10,TNFAIP6,ZBTB34,JAK2,RASA2,SRPK1,SF3A2,MBNL3,ZNF534,ZDHHC20,MAK,C1GALT1,ZNF22,ZFYVE16,RNF13,FAM20C,TPT1,CLEC4D,TNS1,PPM1B,B4GALT7,NT5E,ZNF267"
"GO:MF","enzyme activator activity","GO:0008047","true","0.00987591946631568","2.0054224602019635","632","559","37","20208","SERINC1,LAMTOR3,NCOR2,MOB1A,C9ORF72,RGS18,LTF,SRC,GMFB,FAM20A,NRG1,ARHGAP33,CASP3,ACAP2,BNIP2,CDC42EP2,TEFM,SFRP2,NBN,GNAQ,NOXA1,STK3,RICTOR,CCNT2,IQGAP2,RP2,SUZ12,DDX3X,RGS9,TGFA,RASA4B,FNIP1,LRRK2,RASA2,IL6ST,LTC4S,PIK3CA"
"GO:MF","enzyme binding","GO:0019899","false","0.01416967348147048","1.8486401572916673","2060","559","88","20208","FANCL,ACTA2,ATP6V1G1,PRKAR2B,CEP152,NCOR2,PRKACB,LIMS1,C9ORF72,RB1,DMXL2,FLNA,ABCA1,SCAF1,MIER1,STRN3,TNPO1,SRC,SPOPL,UBE2J1,POLR2M,ERC1,TAF7,NRG1,RNF139,ARHGAP33,CASP3,PLSCR1,PPP1CB,DNAJC3,MEF2A,N4BP2L2,TAX1BP1,PTPN22,PTPRC,IQCB1,SHOC2,MAP3K1,ATF2,GSN,PHF6,TGFBR1,DCUN1D5,CDC42EP2,PDCD10,RNF138,CUL4B,JUP,CD226,EPHA1,NOXA1,BAG1,UBE2W,ROCK1,RICTOR,XRCC4,CPSF1,CCNT2,PJA2,RB1CC1,VRK1,PRR5L,PER1,IQGAP2,DHX36,CSTA,CD74,HSP90AA1,THAP5,SIAH2,SPDYC,FNIP1,LRRK2,ADD3,SNX10,MT-ND2,MEF2C,ADAM10,LMNB1,JAK2,FBXO7,BRCA2,GAS8,PPP1R12A,PKN2,RNF13,RBM47,FAM20C"
"GO:MF","cation binding","GO:0043169","false","0.01518359602080283","1.8186253597290913","4548","559","167","20208","CYP1B1,TESC,FBXL5,FANCL,ZNF613,ITSN2,MAN1A1,ANXA1,ANXA3,TNFSF10,PRKACB,MOB1A,LIMS1,EFHC2,STT3B,IDH1,SLC40A1,ABCA1,ATP11C,PEX2,SLC30A1,LTF,VWCE,POLK,BIRC2,PLA2G4A,MBNL1,BAZ1A,FAM20A,CPNE9,ZNF654,RCHY1,SLC8A1,AGTPBP1,SLC30A5,NRG1,RNF139,ADAM17,DPH3,TDP2,DPM1,RHOT1,PLSCR1,RC3H2,MIB1,ZNF701,PPP1CB,PGRMC1,CYB5R4,PLEKHF2,PHF20L1,RECQL,EFHA1,ACAP2,IPMK,TRIM52,MTHFD2,PGM2,ATP11B,TAX1BP1,RNF11,SLC25A24,WDFY2,RBM14-RBM4,MAP3K1,ATF2,GSN,ZRANB2,PHF6,TGFBR1,GALNT1,MOB4,TIMM8B,ZFPM1,BIRC3,ZNF92,ZNF24,BNIP2,FBXO30,ZNF608,RNF138,RAB44,IDH3G,POLR2K,RNFT1,TRPM7,GALNT3,GNAQ,GNA13,PRF1,PRRG4,STK3,GLI1,PPM1A,CHURC1,TKTL1,CREB5,GK,PRUNE2,ROCK1,B3GAT1,SLU7,RICTOR,S100A12,PJA2,NT5C3,WDFY1,JMJD1C,ZEB1,MT-CO2,SP3,RP2,ATP1A3,YPEL5,DHX36,BCL6,RRM2B,MATN2,SUZ12,EDEM3,THAP5,NEK7,DSE,ZNF281,MMP23B,MMRN1,SIAH2,APOBEC3A,CABP4,ALOX15,JAZF1,CEPT1,PDXP,RASA4B,FNIP1,CHPT1,LRRK2,ZNF230,STEAP4,ZNF514,CARNS1,S100A8,MT-CYB,HBB,ADAM10,TNFAIP6,ZBTB34,JAK2,RASA2,SRPK1,SF3A2,MBNL3,ZNF534,ZDHHC20,MAK,C1GALT1,ZNF22,ZFYVE16,RNF13,FAM20C,TPT1,CLEC4D,TNS1,PPM1B,B4GALT7,NT5E,ZNF267"
"GO:MF","catalytic activity, acting on a protein","GO:0140096","false","0.015392445111702369","1.8126923863950666","2365","559","98","20208","FBXL5,FANCL,MMD,PRKACB,ABHD13,METTL9,PIGK,PEX2,LTF,MIER1,HAT1,BIRC2,SRC,CTSS,UBE2J1,RCHY1,AGTPBP1,UBA3,SLK,RNF139,ADAM17,CASP3,STK17B,DPM1,PPIL4,RC3H2,MIB1,PPP1CB,HIPK3,TMX1,TRIM52,PTAR1,RNF11,PTPN22,PTPRC,MAP3K1,ATF2,PCMT1,TGFBR1,GALNT1,BIRC3,FBXO30,UHMK1,RNF138,CSNK1G3,SPAST,PPP4R1,RNFT1,TRPM7,SENP6,UBE2D1,GALNT3,EPHA1,VCPIP1,PRRG4,STK3,PPM1A,IMMP1L,UBE2W,ROCK1,PJA2,VRK1,TMX3,JMJD1C,USP1,TXN,PPIAL4G,NEK7,MMP23B,CTSW,CDKN3,SIAH2,DUSP8,PCMTD2,PDXP,MTMR6,LRRK2,USP10,ADAM10,PSMA6,JAK2,FBXO7,SRPK1,BRCA2,ZDHHC20,SCYL2,MAK,C1GALT1,PKN2,RNF13,FAM20C,ZDHHC17,TNS1,PPM1B,CLK1,B4GALT7,SENP7,PIK3CA"
"GO:MF","magnesium ion binding","GO:0000287","false","0.01691930697947854","1.7716174297811709","233","559","19","20208","TESC,PRKACB,IDH1,ATP11C,TDP2,PLSCR1,MTHFD2,PGM2,ATP11B,IDH3G,STK3,PPM1A,NT5C3,RP2,DHX36,PDXP,LRRK2,SRPK1,PPM1B"
