"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADAM17",0.691671175913483,2.69112025060606,2.96584223809933,0.00614262669805914,0.348178028496841,-2.26878287626629
"PTPRC",0.654231264010035,7.43040977345036,2.82872035245067,0.00857945475256312,0.35125917880389,-2.52064864924706
"SHOC2",0.620382919181936,3.77989151025979,2.81068119523549,0.00896086326161962,0.35125917880389,-2.55338115201177
"ICOS",0.671785683109501,2.02157783652642,2.58476077477827,0.0152995107061088,0.370553837168732,-2.95451398870308
"NBN",0.609593659239972,3.44757111355941,2.57106768422719,0.0157940195549786,0.370553837168732,-2.97826592396251
"PRF1",-0.910745921095447,6.57757136381559,-2.55581761295163,0.0163621759659103,0.370553837168732,-3.00463820813844
"RIT1",0.544866234259768,3.95151834621082,2.45245988272622,0.0207393514665073,0.374278778051506,-3.18107244963242
"TLR8",0.560045353129371,4.88868775560911,2.27348761956197,0.0309328789539043,0.403310229840667,-3.47640861327513
"FNIP1",0.591455313985792,2.85300360151844,2.25514752574833,0.0322004858544093,0.403310229840667,-3.50589517737569
"IL6ST",0.616730876608494,2.58830438639439,2.14232882309271,0.0410821948091048,0.428459785342838,-3.68389122726627
"IFNGR1",0.581841877610906,6.28316948484579,2.08214794511034,0.0466656352668447,0.440123429873211,-3.77636336946887
